,Date,Nifty Value,PE Ratio,10_years_%_Change,monthly_%_Change,Inflow_Rate,Residual_Corpus_monthly,Monthly_Netflow,Cummulative_Inflow,Residual_Corpus_10_years,IRR
120,2010-07-30,5367.6,20.3552,3.0271598454439737,0.010371764705882525,6.0,30622652.5520792,364863.84149705485,28522652.55207919,34271598.45443974,32.792390325127975
121,2010-08-31,5402.4,20.452,2.8751882935227027,0.006483344511513334,6.0,30771189.758430704,248537.20635150248,28771189.758430693,32751882.935227025,31.412759845726267
122,2010-09-30,6029.95,20.8381,3.741831478787402,0.11616133570265075,6.0,34295612.26192974,3624422.5034990376,32395612.26192973,41418314.78787402,38.71192782521567
123,2010-10-29,6017.7,20.6564,4.13127264975485,-0.0020315259662185836,6.0,34175939.83509227,-19672.42683747472,32375939.835092258,45312726.4975485,41.61207415115133
124,2010-11-30,5862.7,20.1303,3.623033552813153,-0.025757349153331055,6.0,33245658.220116563,-830281.6149757069,31545658.220116552,40230335.52813153,37.78553387477726
125,2010-12-31,6134.5,19.9627,3.854972102409877,0.046360891739301024,6.0,34736956.58166119,1591298.3615446272,33136956.58166118,42549721.02409877,39.575380529732264
126,2011-01-31,5505.9,17.9149,3.013924327476853,-0.10246963892737804,3.0,31152473.183302358,-3534483.39835883,29602473.18330235,34139243.27476853,32.67412921112638
127,2011-02-28,5333.25,17.2906,2.9464629273346157,-0.03135727129079713,3.0,30150616.630314264,-951856.5529880945,28650616.630314257,33464629.273346156,32.0658085331766
128,2011-03-31,5833.75,18.0537,4.080778609998258,0.09384521633150511,6.0,32930107.770514384,2879491.1402001176,31530107.770514376,44807786.099982575,41.24714647866479
129,2011-04-29,5749.5,17.8024,4.109531215285492,-0.014441825583886847,3.0,32429536.89763402,-450570.8728803657,31079536.89763401,45095312.15285492,41.45533138992701
130,2011-05-31,5560.15,17.1863,3.760810000856237,-0.032933298547699885,3.0,31336525.27722059,-1043011.6204134303,30036525.27722058,41608100.00856237,38.85802269220044
131,2011-06-30,5647.4,16.5074,4.097391461323223,0.01569202269722947,3.0,31803258.74312304,516733.46590245044,30553258.743123032,44973914.61323223,41.3675577835346
132,2011-07-29,5482.0,16.0241,4.109754392505943,-0.029287813861245793,3.0,30846810.820873413,-906447.9222496254,29646810.820873406,45097543.92505943,41.45694331631182
133,2011-08-30,5001.0,14.6312,3.7459074733096083,-0.08774170010944915,3.0,28115259.19649543,-2681551.624377986,26965259.19649542,41459074.733096085,38.74334782932161
134,2011-09-30,4943.25,14.8083,4.409257536794879,-0.011547690461907623,3.0,27765592.886037998,-299666.31045743084,26665592.88603799,48092575.36794879,43.56688297886415
135,2011-10-31,5326.6,15.9898,4.480605000514457,0.07755019470995816,3.0,29893820.020587675,2178227.134549676,28843820.020587668,48806050.00514457,44.054529644916606
136,2011-11-30,4832.05,14.5114,3.5279951272079835,-0.09284534224458385,3.0,27093318.06977822,-2750501.9508094555,26093318.06977821,39279951.27207983,37.02913460754629
137,2011-12-30,4624.3,13.8885,3.366460507058213,-0.04299417431524921,3.0,25903463.229907684,-1139854.839870536,24953463.229907677,37664605.07058213,35.710537409441145
138,2012-01-31,5199.25,15.5019,3.8121153223194035,0.12433233137988453,3.0,29099101.204095222,3245637.974187536,28199101.204095215,42121153.22319403,39.25041473898438
139,2012-02-29,5385.2,16.0588,3.715380237292588,0.035764773765446956,3.0,30114823.975437533,1065722.7713423106,29264823.975437526,41153802.37292588,38.507446658153796
140,2012-03-30,5295.55,15.7656,3.688194413704573,-0.01664747827378732,3.0,29588488.097587507,-476335.87785002583,28788488.0975875,40881944.13704573,38.29622988262271
141,2012-04-30,5248.15,15.0182,3.839234670355002,-0.008950911614468815,3.0,29298644.15582024,-239843.9417672683,28548644.155820232,42392346.70355002,39.45634385631691
142,2012-05-31,4924.25,14.0931,3.786401632970451,-0.061716985985537653,3.0,27465420.145060226,-1783224.0107600123,26765420.14506022,41864016.32970451,39.054214652790485
143,2012-06-29,5278.9,15.105,3.9904518812629988,0.0720211199675076,3.0,29418510.46428561,2003090.3192253825,28768510.4642856,43904518.81262999,40.58636941565952
144,2012-07-31,5229.0,15.254,4.453123370528731,-0.009452726893860341,3.0,29115425.319242544,-253085.14504306443,28515425.319242537,48531233.70528731,43.86735168127765
145,2012-08-31,5258.5,15.344899999999999,4.20334454779339,0.005641614075349022,3.0,29254683.312533356,189257.99329081204,28704683.31253335,46033445.4779339,42.12756367106812
146,2012-09-28,5703.3,16.9329,4.921507553340602,0.084586859370543,3.0,31704245.095820386,2499561.78328703,31204245.09582038,53215075.53340602,46.95205503327675
147,2012-10-31,5619.7,15.6134,4.906768972041203,-0.01465818035172628,3.0,31214518.553290516,-439726.54252986866,30764518.55329051,53067689.72041202,46.85823927425354
148,2012-11-30,5879.85,16.2646,4.599057277531781,0.04629250671744045,3.0,32634516.863100387,1469998.3098098708,32234516.86310038,49990572.77531781,44.85214643687545
149,2012-12-31,5905.1,16.1269,4.400182898948332,0.004294327236239015,3.0,32749660.1577071,165143.2946067134,32399660.15770709,48001828.98948332,43.50446109711916
150,2013-01-31,6034.75,16.4819,4.7923405480635415,0.02195559770367983,3.0,33443698.52106195,744038.3633548488,33143698.521061942,51923405.48063541,46.122958560942436
151,2013-02-28,5693.05,15.5349,4.353629866466052,-0.056622063880028106,3.0,31525047.28701798,-1868651.2340439712,31275047.28701797,47536298.66466052,43.182799962311734
152,2013-03-28,5682.55,15.4675,4.809190349621754,-0.001844354080852928,3.0,31441903.937405087,-33143.34961289314,31241903.93740508,52091903.49621754,46.23200815463675
153,2013-04-30,5930.2,16.5487,5.348910657887694,0.04358078679466071,3.0,32787166.849319343,1395262.911914254,32637166.849319335,57489106.578876935,49.58947521599231
154,2013-05-31,5985.95,16.6683,4.945520460866111,0.009401032005665888,3.0,33070400.054244902,333233.20492555876,32970400.054244895,53455204.60866111,47.10447733924834
155,2013-06-28,5842.2,16.2723,4.1511704800952245,-0.02401456744543473,3.0,32251228.70169473,-769171.3525501726,32201228.701694723,45511704.80095225,41.75501909495149
156,2013-07-31,5742.0,15.4658,3.8420963865581657,-0.01715107322583953,3.0,31673085.516608667,-528143.1850860639,31673085.51660866,42420963.865581654,39.478014921808004
157,2013-08-30,5471.8,14.7407,3.0336146843094616,-0.047056774642981525,3.0,30157652.26920573,-1465433.247402936,30207652.269205723,34336146.84309462,32.849937677287386
158,2013-09-30,5735.3,15.3478,3.0472090889845465,0.04815599985379593,3.0,31584924.16747243,1477271.8982666996,31684924.167472422,34472090.88984546,32.970865141969895
159,2013-10-31,6299.15,16.7765,3.048557105212417,0.098312206859275,3.0,34665107.76585949,3130183.5983870635,34815107.765859485,34485571.05212417,32.98283624931941
160,2013-11-29,6176.1,16.4574,2.8236186348862407,-0.01953438162291732,3.0,33962946.32176164,-652161.4440978541,34162946.32176163,32236186.348862406,30.933402200631388
161,2013-12-31,6304.0,16.1964,2.353637451788802,0.020708861579313842,3.0,34641280.27596466,728333.954203028,34891280.275964655,27536374.51788802,26.26770145128532
162,2014-01-31,6089.5,15.6296,2.3648293963254594,-0.03402601522842641,3.0,33437575.5457625,-1153704.730202161,33737575.545762494,27648293.963254593,26.385686911514394
163,2014-02-28,6276.95,16.041,2.486613342220741,0.030782494457673115,3.0,34441867.529677965,1054291.9839154603,34791867.52967796,28866133.422207408,27.64634861214892
164,2014-03-31,6704.2,16.4484,2.7836221005700095,0.06806649726379854,3.0,36761204.8116469,2369337.2819689373,37161204.81164689,31836221.005700096,30.5575396990047
165,2014-04-30,6696.4,16.4299,2.728300206001893,-0.0011634497777512909,3.0,36693434.99607892,-17769.815567980273,37143434.996078916,31283002.060018927,30.031621779456398
166,2014-05-30,7229.95,17.7059,3.873247506066325,0.07967713995579717,3.0,39592062.95172045,2948627.9556415263,40092062.95172044,42732475.06066325,39.71318968920876
167,2014-06-30,7611.35,18.0903,4.055359989373008,0.05275278528897154,6.0,41630654.54776,2138591.596039553,42230654.547759995,44553599.893730074,41.062243373500216
168,2014-07-31,7721.3,18.3521,3.7303191815230043,0.014445532001550188,6.0,42182031.50027515,651376.952515148,42882031.50027514,41303191.81523004,38.623055985609646
169,2014-08-28,7954.35,18.7958,3.8747357131913596,0.03018274124823539,6.0,43405200.84237287,1323169.3420977192,44205200.842372864,42747357.131913595,39.72439180932845
170,2014-09-30,7964.8,18.3308,3.563047837295904,0.0013137465663441983,6.0,43412224.27594102,107023.43356814767,44312224.275941014,39630478.37295904,37.309738012298375
171,2014-10-31,8322.2,19.2168,3.6573395265543684,0.0448724387304138,6.0,45310236.64991417,1998012.373973146,46310236.64991416,40573395.265543684,38.05519285380969
172,2014-11-28,8588.25,19.8384,3.3844445578925875,0.0319687101968229,6.0,46708746.47432474,1498509.8244105699,47808746.47432473,37844445.57892588,35.85946898373618
173,2014-12-31,8282.7,19.3627,2.98111031002163,-0.03557767880534446,6.0,44996957.69486095,-1611788.779463791,46196957.69486094,33811103.1002163,32.37940201655698
174,2015-01-30,8808.9,20.6181,3.2811527993779164,0.06353000833061673,6.0,47805614.79206788,2908657.0972069246,49105614.79206787,36811527.99377917,34.996527204821874
175,2015-02-28,8901.85,20.815,3.232426007369547,0.01055182826459622,6.0,48260051.42943722,554436.637369341,49660051.42943721,36324260.073695466,34.5829596207744
176,2015-03-31,8491.0,22.3897,3.171149264362734,-0.04615332767907798,6.0,45982689.46200525,-2177361.967431972,47482689.46200524,35711492.643627346,34.05676861166987
177,2015-04-30,8181.5,21.6268,3.300394218134034,-0.03645035920386286,6.0,44256603.91395548,-1626085.5480497708,45856603.91395547,37003942.18134034,35.158678215981574
178,2015-05-29,8433.65,22.5688,3.0399750904169958,0.03081953187068387,6.0,45570571.72876986,1413967.8148143834,47270571.72876985,34399750.90416996,32.90656172839421
179,2015-06-30,8368.5,21.6067,2.768576060524183,-0.007725006373278442,6.0,45168538.77173117,-302032.9570386896,46968538.77173116,31685760.605241828,30.41520532777804
180,2015-07-31,8532.85,22.0366,2.690200233533711,0.019639122901356387,6.0,46005609.25594388,937070.4842127095,47905609.25594387,30902002.33533711,29.665246182281813
181,2015-08-31,7971.3,20.5994,2.3427547019478747,-0.06581036816538444,6.0,42927963.1731374,-2977646.082806485,44927963.17313739,27427547.019478746,26.152621020575385
182,2015-09-30,7948.9,20.2027,2.055623894825863,-0.0028100811661837533,6.0,42757332.112321936,-70631.06081546315,44857332.11232193,24556238.94825863,22.98101869213225
183,2015-10-30,8065.8,20.5002,2.4019274974166476,0.014706437368692482,6.0,43336140.13908418,678808.0267622464,45536140.139084175,28019274.974166475,26.77416455812647
184,2015-11-30,7935.25,20.1659,1.9918936751814496,-0.016185623248778813,6.0,42584717.70173669,-651422.4373474977,44884717.70173668,23918936.751814496,22.23864819010619
185,2015-12-31,7946.35,20.7102,1.8014136891646544,0.0013988217132416825,6.0,42594286.12951014,109568.42777345671,44994286.129510134,22014136.891646545,19.92506816729611
186,2016-01-29,7563.55,19.7129,1.5202592382792979,-0.04817306058756543,6.0,40492389.00310915,-2001897.12640099,42992389.00310914,19202592.38279298,16.21067391072284
187,2016-02-29,6987.05,18.2043,1.2724330829023973,-0.07622082223294613,6.0,37356025.81911586,-3036363.183993285,39956025.819115855,16724330.829023974,12.571369660406706
188,2016-03-31,7738.4,20.5684,1.2742942792905319,0.10753465339449408,6.0,41323093.10777026,4067067.2886543963,44023093.10777025,16742942.792905318,12.600203412462019
189,2016-04-29,7849.8,19.4514,1.2064875196761862,0.014395740721596217,6.0,41867969.6419641,644876.5341938402,44667969.64196409,16064875.196761861,11.533418386232519
190,2016-05-31,8160.1,20.2354,1.65710424773286,0.03952966954572101,6.0,43472996.64646122,1705027.0044971202,46372996.64646121,20571042.4773286,18.067380774443052
191,2016-06-30,8287.75,20.6849,1.649367048142702,0.015643190647173455,6.0,44103053.02100574,730056.374544525,47103053.021005735,20493670.48142702,17.96498011947707
192,2016-07-29,8638.5,21.5603,1.7483138203105115,0.04232149859732748,6.0,45919560.317572095,1916507.2965663539,49019560.31757209,21483138.203105114,19.252729051071693
193,2016-08-31,8786.2,21.9577,1.573654764345763,0.017097875788620875,6.0,46654687.25615003,835126.9385779318,49854687.25615002,19736547.64345763,16.94689712001194
194,2016-09-30,8611.15,22.0019,1.3997185375097536,-0.01992328879379035,6.0,45675172.448361784,-879514.8077882474,48975172.44836178,17997185.375097536,14.488806609327254
195,2016-10-30,8625.7,22.039,1.3038113298255927,0.0016896697885881995,6.0,45702348.40733634,127175.95897455301,49102348.40733633,17038113.298255928,13.054217928856238
196,2016-11-30,8224.5,21.0207,1.0797825262359337,-0.046512167128465065,6.0,43526633.14005097,-2075715.267285367,47026633.14005096,14797825.262359338,9.443384129452381
197,2016-12-30,8185.8,20.9218,1.0637858007260994,-0.004705453219040701,6.0,43271820.60402811,-154812.53602285648,46871820.604028106,14637858.007260995,9.169823807533216
198,2017-01-31,8561.3,21.4793,1.0969701423077862,0.0458721200127048,6.0,45206790.751944326,2034970.14791621,48906790.75194432,14969701.423077863,9.734784732256351
199,2017-02-28,8879.6,22.2696,1.3708648172376043,0.03717893310595377,6.0,46837531.001245715,1730740.2493013877,50637531.00124571,17708648.172376044,14.063528581608974
200,2017-03-31,9173.75,21.714,1.4005311980740798,0.03312649218433261,6.0,48339094.10589192,1601563.1046462026,52239094.10589191,18005311.9807408,14.500708277865716
201,2017-04-28,9304.05,22.0217,1.2759974559064555,0.014203569968660457,6.0,48975681.81124662,736587.7053546981,52975681.81124661,16759974.559064556,12.626567502992202
202,2017-05-31,9621.25,22.6251,1.2396876018436611,0.03409268006943211,6.0,50595394.06241976,1719712.2511731365,54695394.06241975,16396876.01843661,12.059988535702137
203,2017-06-30,9520.9,22.3883,1.2047796586619732,-0.010430037677017112,6.0,50017682.196065195,-477711.86635456595,54217682.19606519,16047796.586619733,11.50610511984167
204,2017-07-31,10077.1,23.6962,1.2250902547004205,0.058418846957745574,6.0,52889657.51745828,2971975.321393088,57189657.517458275,16250902.547004206,11.829487750143052
205,2017-08-31,9917.9,23.3218,1.2217517921146954,-0.01579819590953757,6.0,52004096.34640913,-785561.1710491525,56404096.34640912,16217517.921146953,11.776547656261037
206,2017-09-29,9788.6,22.7346,0.9493960787437641,-0.013037034049546703,6.0,51276117.171625085,-627979.1747840431,55776117.17162508,13493960.78743764,7.1434716759653405
207,2017-10-31,10335.3,23.5665,0.7515527950310559,0.05585068344809252,6.0,54089923.36022482,2913806.1885997336,58689923.36022481,11515527.950310558,3.3025706232105767
208,2017-11-30,10226.55,23.3186,0.7745954622359115,-0.010522190937853781,6.0,53470778.85881466,-519144.5014101631,58170778.85881465,11745954.622359116,3.7749135082504326
209,2017-12-29,10530.7,23.8994,0.7154888736845535,0.029741212823484187,6.0,55011064.67269212,1640285.8138774657,59811064.67269211,11154888.736845534,2.548491458792812
210,2018-01-31,11027.7,23.8705,1.146531839725934,0.0471953431395824,6.0,57557330.74639358,2646266.073701464,62457330.746393576,15465318.397259342,10.56088085123783
211,2018-02-28,10492.85,22.7386,1.008777639513736,-0.04850059395884909,6.0,54715766.01850757,-2741564.7278860155,59715766.01850756,14087776.39513736,8.211206843485662
212,2018-03-28,10113.7,21.9169,1.136170662160735,-0.03613412943099348,6.0,52688659.447278865,-1927106.5712287072,57788659.44727886,15361706.62160735,10.389883160037016
