,,,,
Date,Nifty Value,,Date,PE Ratio
05-07-2000,1526.05,,05-07-2000,19.7303
06-07-2000,1516.8,,06-07-2000,19.6107
07-07-2000,1517.6,,07-07-2000,19.621
10-07-2000,1509.65,,10-07-2000,19.5182
11-07-2000,1518.55,,11-07-2000,19.6333
12-07-2000,1533.35,,12-07-2000,19.8246
13-07-2000,1522.6,,13-07-2000,19.6856
14-07-2000,1509.75,,14-07-2000,19.5195
17-07-2000,1479.65,,17-07-2000,19.1303
18-07-2000,1463.1,,18-07-2000,18.9164
19-07-2000,1435.8,,19-07-2000,18.5634
20-07-2000,1424.2,,20-07-2000,18.4134
21-07-2000,1397.25,,21-07-2000,18.065
24-07-2000,1317.75,,24-07-2000,17.0371
25-07-2000,1348.9,,25-07-2000,17.4399
26-07-2000,1318.25,,26-07-2000,17.0436
27-07-2000,1338.05,,27-07-2000,17.2996
28-07-2000,1333.8,,28-07-2000,17.2447
31-07-2000,1332.85,,31-07-2000,17.2324
01-08-2000,1326.85,,01-08-2000,17.1548
02-08-2000,1331.9,,02-08-2000,17.2701
03-08-2000,1321.25,,03-08-2000,17.132
04-08-2000,1318.55,,04-08-2000,17.097
07-08-2000,1310.8,,07-08-2000,16.9965
08-08-2000,1345.6,,08-08-2000,17.4477
09-08-2000,1344.95,,09-08-2000,17.9381
10-08-2000,1328,,10-08-2000,17.7121
11-08-2000,1310.75,,11-08-2000,17.482
14-08-2000,1317.9,,14-08-2000,17.5773
16-08-2000,1351.45,,16-08-2000,18.0248
17-08-2000,1341.4,,17-08-2000,17.8908
18-08-2000,1358.05,,18-08-2000,18.1128
21-08-2000,1370.25,,21-08-2000,18.2756
22-08-2000,1381.2,,22-08-2000,18.4216
23-08-2000,1386.05,,23-08-2000,18.4863
24-08-2000,1386.95,,24-08-2000,18.4983
25-08-2000,1381.25,,25-08-2000,18.4223
28-08-2000,1369.85,,28-08-2000,18.2702
29-08-2000,1367.7,,29-08-2000,18.2415
30-08-2000,1375.95,,30-08-2000,18.3516
31-08-2000,1394.1,,31-08-2000,18.5937
04-09-2000,1427.75,,04-09-2000,19.0425
05-09-2000,1428.25,,05-09-2000,19.0491
06-09-2000,1435.35,,06-09-2000,19.1438
07-09-2000,1439.75,,07-09-2000,19.2025
08-09-2000,1450.05,,08-09-2000,19.3399
11-09-2000,1456.35,,11-09-2000,19.4239
12-09-2000,1467.65,,12-09-2000,19.5746
13-09-2000,1456.15,,13-09-2000,19.4212
14-09-2000,1445.3,,14-09-2000,19.2765
15-09-2000,1417.2,,15-09-2000,18.9017
18-09-2000,1354.35,,18-09-2000,18.0635
19-09-2000,1317,,19-09-2000,17.5653
20-09-2000,1342.9,,20-09-2000,17.9108
21-09-2000,1329.85,,21-09-2000,17.7367
22-09-2000,1266.45,,22-09-2000,16.8911
25-09-2000,1292.55,,25-09-2000,17.2392
26-09-2000,1267.9,,26-09-2000,16.9105
27-09-2000,1292.55,,27-09-2000,17.2392
28-09-2000,1266.4,,28-09-2000,16.8905
29-09-2000,1271.65,,29-09-2000,16.9605
03-10-2000,1282,,03-10-2000,17.0278
04-10-2000,1297.8,,04-10-2000,17.2376
05-10-2000,1284.75,,05-10-2000,17.0643
06-10-2000,1285,,06-10-2000,17.0676
09-10-2000,1267.3,,09-10-2000,16.8325
10-10-2000,1238.95,,10-10-2000,16.456
11-10-2000,1201.9,,11-10-2000,15.9639
12-10-2000,1206.25,,12-10-2000,16.0216
13-10-2000,1176.75,,13-10-2000,15.6298
16-10-2000,1175.45,,16-10-2000,15.6126
17-10-2000,1158.05,,17-10-2000,15.3814
18-10-2000,1136,,18-10-2000,15.0886
19-10-2000,1166.15,,19-10-2000,15.489
20-10-2000,1172,,20-10-2000,15.5667
23-10-2000,1143.95,,23-10-2000,15.1942
24-10-2000,1152.45,,24-10-2000,15.3071
25-10-2000,1183.9,,25-10-2000,15.7248
26-10-2000,1186.3,,26-10-2000,15.7567
27-10-2000,1178.7,,27-10-2000,15.6557
30-10-2000,1167.15,,30-10-2000,15.5023
31-10-2000,1172.75,,31-10-2000,15.5767
01-11-2000,1200.8,,01-11-2000,15.9493
02-11-2000,1224.85,,02-11-2000,16.2687
03-11-2000,1242.05,,03-11-2000,16.4972
06-11-2000,1240.25,,06-11-2000,16.4732
07-11-2000,1246.75,,07-11-2000,16.5596
08-11-2000,1266.8,,08-11-2000,16.8259
09-11-2000,1269.95,,09-11-2000,16.8677
10-11-2000,1239.55,,10-11-2000,16.4639
13-11-2000,1208.05,,13-11-2000,16.0456
14-11-2000,1242.85,,14-11-2000,16.5078
15-11-2000,1247.05,,15-11-2000,16.764
16-11-2000,1233.25,,16-11-2000,16.5785
17-11-2000,1236,,17-11-2000,16.6155
20-11-2000,1237.6,,20-11-2000,16.637
21-11-2000,1235,,21-11-2000,16.6021
22-11-2000,1222.35,,22-11-2000,16.432
23-11-2000,1216,,23-11-2000,16.3466
24-11-2000,1225.2,,24-11-2000,16.4703
27-11-2000,1252.9,,27-11-2000,16.8427
28-11-2000,1272.75,,28-11-2000,17.1095
29-11-2000,1264.75,,29-11-2000,17.6365
30-11-2000,1268.15,,30-11-2000,17.6839
01-12-2000,1276.2,,01-12-2000,17.7962
04-12-2000,1275.6,,04-12-2000,17.7878
05-12-2000,1284.65,,05-12-2000,17.914
06-12-2000,1298.55,,06-12-2000,18.1078
07-12-2000,1302.5,,07-12-2000,18.1629
08-12-2000,1313.7,,08-12-2000,18.3191
11-12-2000,1332.15,,11-12-2000,18.5764
12-12-2000,1333.35,,12-12-2000,18.5931
13-12-2000,1354.3,,13-12-2000,18.8853
14-12-2000,1349.35,,14-12-2000,18.8162
15-12-2000,1312.6,,15-12-2000,18.3038
18-12-2000,1317.6,,18-12-2000,18.3735
19-12-2000,1310.5,,19-12-2000,18.2745
20-12-2000,1295.25,,20-12-2000,18.0618
21-12-2000,1277.4,,21-12-2000,17.8129
22-12-2000,1242,,22-12-2000,17.3193
26-12-2000,1212,,26-12-2000,16.9009
27-12-2000,1228.3,,27-12-2000,17.1282
28-12-2000,1248.95,,28-12-2000,17.4162
29-12-2000,1263.55,,29-12-2000,17.6198
01-01-2001,1254.3,,01-01-2001,17.2872
02-01-2001,1271.8,,02-01-2001,17.5284
03-01-2001,1291.25,,03-01-2001,17.7964
04-01-2001,1307.65,,04-01-2001,18.0225
05-01-2001,1327.25,,05-01-2001,18.2926
08-01-2001,1309.25,,08-01-2001,18.0445
09-01-2001,1311.65,,09-01-2001,18.0776
10-01-2001,1287.3,,10-01-2001,17.742
11-01-2001,1280.4,,11-01-2001,17.6469
12-01-2001,1286.75,,12-01-2001,17.7344
15-01-2001,1286.75,,15-01-2001,17.7344
16-01-2001,1293.05,,16-01-2001,17.8213
17-01-2001,1297.9,,17-01-2001,17.8881
18-01-2001,1305.95,,18-01-2001,17.999
19-01-2001,1329.1,,19-01-2001,18.3181
22-01-2001,1348,,22-01-2001,18.5786
23-01-2001,1355.2,,23-01-2001,18.6778
24-01-2001,1365.95,,24-01-2001,18.826
25-01-2001,1370.1,,25-01-2001,18.8832
29-01-2001,1342.05,,29-01-2001,18.4966
30-01-2001,1379.7,,30-01-2001,19.0155
31-01-2001,1371.7,,31-01-2001,18.9052
01-02-2001,1359.15,,01-02-2001,18.7323
02-02-2001,1378.85,,02-02-2001,19.0038
05-02-2001,1382.6,,05-02-2001,19.0555
06-02-2001,1387.1,,06-02-2001,19.1175
07-02-2001,1370.8,,07-02-2001,18.8928
08-02-2001,1395.5,,08-02-2001,19.2333
09-02-2001,1405.7,,09-02-2001,19.3738
12-02-2001,1402.2,,12-02-2001,19.3256
13-02-2001,1391.2,,13-02-2001,19.174
14-02-2001,1393.35,,14-02-2001,19.2036
15-02-2001,1416.7,,15-02-2001,19.5254
16-02-2001,1381.35,,16-02-2001,19.0382
19-02-2001,1384.8,,19-02-2001,19.0858
20-02-2001,1383.85,,20-02-2001,19.0727
21-02-2001,1370.1,,21-02-2001,18.8832
22-02-2001,1355.1,,22-02-2001,18.6764
23-02-2001,1320.45,,23-02-2001,18.1989
26-02-2001,1312.4,,26-02-2001,18.0879
27-02-2001,1295.55,,27-02-2001,17.8557
28-02-2001,1351.4,,28-02-2001,18.6255
01-03-2001,1358.05,,01-03-2001,18.7171
02-03-2001,1306.35,,02-03-2001,18.0046
05-03-2001,1271.45,,05-03-2001,17.5236
07-03-2001,1290.5,,07-03-2001,17.7861
08-03-2001,1292.85,,08-03-2001,17.8185
09-03-2001,1254.75,,09-03-2001,17.2934
12-03-2001,1197.95,,12-03-2001,16.5106
13-03-2001,1124.7,,13-03-2001,15.501
14-03-2001,1194.2,,14-03-2001,17.1543
15-03-2001,1217.15,,15-03-2001,17.4839
16-03-2001,1193.55,,16-03-2001,17.1449
19-03-2001,1186.7,,19-03-2001,17.0465
20-03-2001,1170.95,,20-03-2001,16.8203
21-03-2001,1207.1,,21-03-2001,17.3396
22-03-2001,1187.55,,22-03-2001,17.0587
23-03-2001,1161.3,,23-03-2001,16.6817
26-03-2001,1161.5,,26-03-2001,16.6845
27-03-2001,1177.75,,27-03-2001,16.918
28-03-2001,1206.2,,28-03-2001,17.3266
29-03-2001,1195.1,,29-03-2001,17.1672
30-03-2001,1148.2,,30-03-2001,16.4935
02-04-2001,1138.1,,02-04-2001,15.4807
03-04-2001,1149.25,,03-04-2001,15.6324
04-04-2001,1136.65,,04-04-2001,15.461
06-04-2001,1139.6,,06-04-2001,15.5011
09-04-2001,1128.35,,09-04-2001,15.3481
10-04-2001,1103.05,,10-04-2001,15.004
11-04-2001,1066.8,,11-04-2001,14.5109
12-04-2001,1024.9,,12-04-2001,13.941
16-04-2001,1044.6,,16-04-2001,14.2089
17-04-2001,1067,,17-04-2001,14.5136
18-04-2001,1103.4,,18-04-2001,15.0087
19-04-2001,1144.45,,19-04-2001,15.5671
20-04-2001,1144,,20-04-2001,15.561
23-04-2001,1149.75,,23-04-2001,15.6392
24-04-2001,1146.3,,24-04-2001,15.5923
25-04-2001,1155.35,,25-04-2001,15.7154
26-04-2001,1143.75,,26-04-2001,15.5576
27-04-2001,1101.3,,27-04-2001,14.9802
30-04-2001,1125.25,,30-04-2001,15.3059
